Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2019,5 Year Energy Action and Assessment Compliance Status
99 Summer Street,Compliant,Office,99 Summer Street,02110,291332,70,66,"2018, 2017, 2016, 2011, 2010","Office, Parking",1987,1459.8,5,20387842.2,0.780087891,0.152877081,,10.93,,,,0304576000,"2014, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
A-01 Station,Municipal,Police Station,40 NEW SUDBURY ST,02114,37433,149.3,,,Police Station,2000,341.9,9.1,5588728.6,0.340299791,0.630457328,,Not Available,,,,302626000,"2016, 2017, 2018, 2019, ",No,
A-07 Station,Municipal,Police Station,69 Paris St,02128,16194,105.8,,,Police Station,2000,108.9,6.7,1712582.3,0.442656712,0.519304678,,Not Available,,,,105699000,"2016, 2017, 2018, 2019, ",No,
A-15 Station,Municipal,Police Station,20 Vine St,02129,20000,89.9,,,Police Station,2000,116.7,5.8,1798217.8,0.497661874,0.459572806,,Not Available,,,,202644020,"2016, 2017, 2018, 2019, ",No,
Abnote USA Inc.,Compliant,Manufacturing/Industrial Plant,225 Rivermoor Street,02132,127,Not Available,,,Manufacturing/Industrial Plant,1967,Not Available,Not Available,Not Available,,,,Not Available,,,,2009228010,"2014, 2018, 2019, ",Yes,Not Compliant
ABRAHAM LINCOLN,Municipal,K-12 School,152 Arlington St.,02116,80364,73.1,65,,K-12 School,1911,329.5,4.1,5876250.2,0.124602586,0.864690002,,3.29,,,,500746000,"2016, 2017, 2018, 2019, ",No,
Academy Homes I,Compliant,Multifamily Housing,1592 Columbus Ave,02119,232026,101.9,52,,Multifamily Housing,1962,1334.3,5.8,23652901.5,0.139115196,0.848930263,,61.13,,,,1100916001,"2016, 2017, 2018, 2019, ",No,
Academy Training,Municipal,Police Station,85 Williams Ave,02136,59500,9.5,,,Police Station,2000,42.3,0.7,563915.4,0.920867247,,,Not Available,,,,1810341000,"2016, 2017, 2018, 2019, ",No,
ADAMS,Municipal,K-12 School,165 Webster St.,02128,41336,53.7,87,,K-12 School,1910,124.3,3,2218254.7,0.123025346,0.866402762,,Not Available,,,,104558000,"2016, 2017, 2018, 2019, ",No,
Adams Court - A,Compliant,Multifamily Housing,415 River Street,02126,29920,54.1,90,,"Multifamily Housing, Parking",1965,94.9,3.2,1618118.5,0.234158946,0.745719179,,53.6,,,,1801010000,"2015, 2016, 2017, 2018, 2019, ",No,
Adams Court - B,Compliant,Multifamily Housing,435 River St,02126,15936,60.4,,,"Multifamily Housing, Parking",1963,56.1,3.5,962030.5,0.219936293,0.761164017,,64.76,,,,1801012001,"2017, 2018, 2019, ",No,
Adams House Condominiums,Compliant,Multifamily Housing,59 Msgr Lydon Way,02124,40060,40.8,62,,"Multifamily Housing, Parking",1987,122.6,3.1,1635842.9,0.920867469,,,42.23,,"This is an all-electric building - no natural gas lines into it.
Tax Parcel:  1602997000",,1602997000,"2017, 2018, 2019, ",No,
Adams Street Branch,Municipal,Library,690 Adams St,02122,7189,75.2,,,Library,2000,31.3,4.4,540593.8,0.204078321,0.778384806,,Not Available,,,,1603518001,"2016, 2017, 2018, 2019, ",No,
Adams Village (Whole Building Data): 725 Adams Street (Whole Building Tracking),Compliant,Multifamily Housing,725 Adams Street,02122,34705,53.2,95,,Multifamily Housing,1968,106.5,3.1,1846631.8,0.193438614,0.789938633,,29.51,,,,1603457000,"2017, 2018, 2019, ",No,
Adams Village (Whole Building Data): 735 Adams Street (Whole Building Tracking),Compliant,Multifamily Housing,735 Adams Street,02122,41395,56.5,77,,Multifamily Housing,1968,141.7,3.4,2340822.2,0.313495016,0.659565515,,31.02,,,,16034577000,"2017, 2018, 2019, ",No,
Administration Building/Wilkens Science Center,Compliant,College/University,400 The Fenway,02115,166153,163,,,"College/University, Data Center, Parking",1919,1683.1,10.1,27089556.1,0.380402942,0.586908019,,19.6,,"Two buildings sharing utility meters. Building contains classrooms, science labs, office spaces, parking as well as a small dining hall.

Gross square footage includes 56,712 square feet for parking garage.",,0401847000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
AGASSIZ,Municipal,K-12 School,20 Child St.,02130,115400,72.8,53,,K-12 School,1972,491.1,4.3,8395911.6,0.227093173,0.753392091,,6.51,,,,1103019000,"2016, 2017, 2018, 2019, ",No,
Albany Street Apartments,Compliant,Multifamily Housing,601 Albany Street,02118,56610,37.3,,,Multifamily Housing,2009,126.6,2.2,2113911.3,0.285544575,0.689917831,,43.08,,"All Parcel numbers:  0801218000, 0801217000, 0801219000",,0801218000,"2017, 2018, 2019, ",No,
Albert A. Pope Condominium Trust,Compliant,Multifamily Housing,221 Columbus Ave,02116,25000,216.3,1,,Multifamily Housing,1891,313.8,12.6,5406855.6,0.207828773,0.774311912,,112.49,,,,401147000,"2016, 2017, 2018, 2019, ",No,
Aldrich Hall,Compliant,College/University,35 Harvard Way,02163,105818,61,,,College/University,1953,454.8,4.3,6457672.9,0.434607368,,0.528045683,13.95,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
ALIGHIERI,Municipal,K-12 School,37 Gove St.,02128,169748,62.3,100,,K-12 School,1924,61.3,3.6,1056456.1,0.205853122,0.776457252,,4,,,,105723000,"2016, 2017, 2018, 2019, ",No,
Allerton: 65 Allerton Street,Compliant,Office,65 Allerton Street,02119,110087,85.1,25,,Office,2000,679.8,6.2,9364074.6,0.821967528,0.107398621,,10.91,,,,0800962000;  0800961001; 0800962010; 080096300; 0800957000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
Alumnae Hall,Compliant,College/University,321R Brookline Avenue,02215,7600,173.9,,,College/University,1904,99,13,1321549.5,0.920867518,,,Not Available,,,, 0402012000,"2015, 2016, 2018, 2019, ",No,
Amiff Housing: Amiff-ALH,Compliant,Multifamily Housing,64 American Legion Highway,02124,32879,223.6,4,,Multifamily Housing,1971,396.7,12.1,7350292.9,0.036024694,0.960879613,,136.26,,4/1/2018: Square footage was corrected to reflect tax assessor and confirmation from owner,,1404246000,"2015, 2016, 2017, 2018, 2019, ",No,
Amory Terrace,Compliant,Multifamily Housing,20 Amory Avenue,02119,64085,53.9,51,,"Multifamily Housing, Parking",2005,248.9,3.9,3455687.2,0.798432919,0.13295561,,67.54,,Updated Elec data 2017 & 2018 with missing service address-8/22/19,,1101202010,"2015, 2016, 2017, 2018, 2019, ",No,
AMS Realty Trust,Compliant,Multifamily Housing,1082 Commonwealth Avenue,02215,25737,91.6,77,,"Multifamily Housing, Restaurant",1920,133.6,5.2,2357760.8,0.149650599,0.837489537,,43.41,,,,2101597000,"2017, 2018, 2019, ",No,
Amy Lowell House: 65 Martha Road,Compliant,Multifamily Housing,65 Martha Rd,02114,115000,79.7,40,,Multifamily Housing,1975,570.9,5,9169408.9,0.38605707,0.580768014,,36.73,,,,0300465000,"2015, 2016, 2017, 2018, 2019, ",No,
Anderson Park: 250 Cambridge St,Compliant,Multifamily Housing,250 Cambridge St,02114,86006,84.5,22,,Multifamily Housing,1978,445.3,5.2,7266852.8,0.344466465,0.625932605,,37.78,,"DHW boilers replaced Dec 2012; now condensing

BERDO filed for exemption on this property for 2019. ",,502186000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Animal Control Shelter,Municipal,Other,26 Mahler Rd,02131,10000,289.1,,,Other,2000,163.7,16.4,2890881.6,0.147938722,0.839348523,,Not Available,,,,1902894000,"2016, 2017, 2018, 2019, ",No,
Anna Bissonnette House: 1640 Washington Street,Compliant,Multifamily Housing,1640 Washington Street,02118,22953,118.6,11,,Multifamily Housing,1997,161,7,2723351.7,0.253581341,0.724627708,,27.65,,Bedroom count is correct because it is a senior living home with SRO. ,,80448000,"2017, 2018, 2019, ",No,
Ansin Building,Compliant,College/University,180 Tremont St,02116,98744,64.3,,,College/University,1931,475.3,4.8,6352993.9,0.907901085,,0.014080558,10.46,,,,0304890100,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Offsite Renewables
Anti Corruption,Municipal,Police Station,1960 Washington St,02118,4200,57.1,,,Police Station,2000,15.3,3.6,239977.6,0.443763822,0.518102523,,Not Available,,,,801948000,"2016, 2017, 2018, 2019, ",No,
Arborway Gardens Condominium,Compliant,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",02130,150172,128.1,9,,Multifamily Housing,1950,1053.2,7,19233135.6,0.069498416,0.924529389,,24.1,,,,1102640000,"2015, 2016, 2017, 2018, 2019, ",No,
Archives Building,Municipal,Non-Refrigerated Warehouse,201 Rivermoor St,02132,119454,17.1,93,,Non-Refrigerated Warehouse,2000,108.7,0.9,2047361.8,,1,,Not Available,,,,2009228000,"2016, 2017, 2018, 2019, ",No,
ARE ND CR Longwood LLC,Compliant,Laboratory,360 Longwood Avenue,02215,210709,999.4,,,"Food Sales, Laboratory, Parking",2015,14736.6,67,219934620.1,0.586110008,0.363524,,6692.49,,"Water Meters 

142564001
142564002 
142566001
142566002 

Gas Account 5139810050

Eversource Accounts 

Account 2830 401 0011 Meter 5113712
Account 2830 399 0015 Meter 5113711
Account 2830 398 0016 Meter 5113710 
Account 2830 397 0017 Meter 5113709
Account 2403 508 1025 Meter 5107212",,01967-014,"2017, 2018, 2019, ",No,
Arlington Boylston,Compliant,Office,330-350 Boylston Street,02116,63054,70.1,75,,"Office, Other, Retail Store",1899,284.1,4.5,4422374,0.093560733,0.227141531,0.671257858,13.58,,,,0501167000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
Armenian Nursing and Rehabilitation Center,Compliant,Senior Care Community,431 Pond Street,02130,53000,69.7,100,,Senior Care Community,1978,210.8,4,3693180.6,0.16745369,0.818156605,,39.94,,"First floor and original building built in 1952. Second floor was added in 1978. The nursing home (431 Pond Street) is one main building and it is about 52,000 square feet. The second building, 435 Pond Street, is an office, and it is about 1000 square feet.",,1902312000,"2016, 2018, 2019, ",No,
Arnold Hall,Voluntary,College/University,78 Pilgrim Road,02215,22000,32.2,,,College/University,1951,53.2,2.4,709381.3,0.920867231,,,30.14,,,, 0402013000,"2018, 2019, ",No,
Arthur J. Hurley Co.,Compliant,Distribution Center,2500 Washington Street,02119,50000,30,54,,Distribution Center,1967,82.8,1.7,1501649.7,,0.907002412,,2.53,40929,,,01247-000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
Artists,Compliant,Multifamily Housing,300 Summer Street,02210,85000,44.6,70,,Multifamily Housing,1950,239.5,2.8,3788163.6,0.426007853,0.53738413,,13.53,,,,0602696002,"2015, 2016, 2017, 2018, 2019, ",No,
ARTS ACADEMY,Municipal,K-12 School,174 Ipswich St.,02215,129800,48.6,81,,K-12 School,1998,376.6,2.9,6306934.4,0.278244605,0.697845089,,Not Available,,,,504189000,"2016, 2017, 2018, 2019, ",No,
Ashmont Hill LLC,Compliant,Senior Care Community,321 Centre Street,02122,46952,140.2,47,,Senior Care Community,1953,399,8.5,6582403.3,0.316605172,0.656188128,,78.54,,"Default values were used for # of units, # of workers on main shift, # of computers, # of washing machines, # of lift systems, # of refrigeration/freezer units, and percent that can be heated/cooled.",,1601072000,"2016, 2017, 2018, 2019, ",No,
Asian Healthcare Foundation of Massachusetts,Compliant,Office,145 South Street,02111,42000,49.2,93,,Office,1895,144.4,3.4,2068477.3,0.704994309,0.234423602,,12.92,,,,0304325000,"2016, 2017, 2018, 2019, ",No,
Atelier 505,Compliant,Multifamily Housing,505 Tremont St,02116,224000,115.6,1,,Multifamily Housing,2004,1674.2,7.5,25897491.5,0.486676748,0.471501825,,29,,,,0500815020,"2016, 2017, 2018, 2019, ",No,
ATJ Neponset III,Compliant,Multifamily Housing,30 - 46 Sierra Road,02136,43400,44.8,57,,Multifamily Housing,1964,145.6,3.4,1943436.1,0.920867461,,,138.97,,,,1809785000,"2017, 2018, 2019, ",No,
Atlantic Wharf,Compliant,Office,280 Congress St.,02210,965371,83.6,74,"2018, 2017, 2016, 2015, 2013","Data Center, Multifamily Housing, Office, Parking, Restaurant",2010,5492.8,5.7,80733355.7,0.629655921,0.316236072,,10.28,,"Atlantic Wharf office tower/retail/garage/residential includes the following parcel IDs: 0302952018, 0302952020, 0302952022, 0302952024, 0302952014, 0302952010, 0302952016",,0302952018 0302952020 0302952022 0302952024,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
Atrium On Commonwealth,Compliant,Multifamily Housing,1079 Commonwealth Ave.,02215,278852,32.8,80,,"Multifamily Housing, Parking, Retail Store",1919,686.2,2.5,9157579.3,0.920867399,,,35.28,,,,2100477000,"2018, 2019, ",No,
Audubon Park Condo Trust,Compliant,Multifamily Housing,16 Miner St,02215,84310,31.9,99,,Multifamily Housing,2007,163.8,1.9,2689307.6,0.328081215,0.643725954,,17.26,,,,2100167000,"2015, 2016, 2017, 2018, 2019, ",No,
Avenir - 29807,Compliant,Multifamily Housing,101 Canal St.,02114,335514,49.8,81,,"Multifamily Housing, Parking, Retail Store",2009,1077.3,3.2,16708376,0.478094657,0.479196787,,27.34,,2014-1  Gross floor area reflects Asssessor's living area less enclosed parking garage.,,0301570001,"2015, 2016, 2017, 2018, 2019, ",No,
"B Minor, LLC",Compliant,Retail Store,162 Boylston Street,02116,22031,9.5,,,"Other, Retail Store",1896,15.3,0.7,209043.8,0.844579017,0.082844361,,9.65,,,,0500027000,"2016, 2017, 2018, 2019, ",No,
B001-Dental,Compliant,College/University,1 Kneeland Street,02111,330486,266.9,,,College/University,1973,6038.2,18.3,88218790.8,0.220804608,,0.760221064,17.22,,,,0305380000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
B002-PosnerHall,Compliant,College/University,200 Harrison Ave,02111,61259,85.6,,,College/University,1951,316,5.2,5242128,0.30235821,0.671659315,,24.97,,,,0305081000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Offsite Renewables
B003-BRPH (M&V),Compliant,College/University,136 Harrison Ave,02111,231534,370,,,College/University,1940,6004.7,25.9,85671400.7,0.398540366,0.000283831,0.56692817,46.43,,,,0305251000 0305254000 0305253000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Offsite Renewables
B008_Jaharis,Compliant,College/University,150 Harrison Ave,02111,179165,340.3,,,College/University,2002,4259.9,23.8,60975463.4,0.373718574,0.000137977,0.594028819,55.23,,,,0305104000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
B011-Sackler,Compliant,College/University,145 Harrison Ave,02111,136192,149.1,,,College/University,1986,1421.4,10.4,20305906.2,0.388542542,,0.578068966,10.49,,,,0305371000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Offsite Renewables
B-02 Station,Municipal,Police Station,2400 Washington St,02119,34500,118.5,,,Police Station,2000,259.8,7.5,4088541.1,0.440007989,0.522180931,,Not Available,,,,1201261000,"2016, 2017, 2018, 2019, ",No,
B-03 Station,Municipal,Police Station,1163 Blue Hill Ave,02124,15000,183.3,,,Police Station,2000,169.1,11.3,2749535.4,0.353846124,0.615746973,,Not Available,,,,1404623000,"2016, 2017, 2018, 2019, ",No,
Babcock Tower,Compliant,Multifamily Housing,270 Babcock Street,02215,155384,Not Available,,,Multifamily Housing,1972,0,0,Not Available,,,,76520210,,,,2100470000,"2015, 2016, 2017, 2018, 2019, ",No,
Back Bay Maitenence,Municipal,Other,440 Park Dr,02215,10822,48.6,,,Other,2000,30.3,2.8,526224.2,0.189784313,0.793906856,,Not Available,,,,401994000,"2016, 2017, 2018, 2019, ",No,
Back of the Hill Apartments L.P.,Compliant,Multifamily Housing,100 South Huntington Avenue ,02130,119531,58,90,,Multifamily Housing,1978,410.7,3.4,6929391.5,0.259404943,0.718303707,,37.57,,,,1001490000,"2015, 2016, 2017, 2018, 2019, ",No,
Baker Chocolate Factory,Compliant,Multifamily Housing,1200-1220 Adams St,02124,177230,41.5,94,,"Multifamily Housing, Parking",1806,445.9,2.5,7356841.1,0.316501474,0.656300691,,1.58,,"Please note, we own the buildings addressed 1200 & 1220 Adams Street however there is only one gas meter where our boilers are located that feed the heat to both buildings, which is located/billed to 1200 Adams Street. ",,6336157,"2015, 2016, 2017, 2018, 2019, ",No,
Baker Library,Compliant,Library,25 Harvard Way,02163,157820,80.9,,,Library,1927,883.9,5.6,12771868.6,0.292618833,,0.670706266,7.33,43157,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage.  After January 2017, monthly readings are accurate.

A solar PV system was installed Spring 2017 at Baker Library.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Baker Square,Compliant,Multifamily Housing,1241 Adams Street,02124,229178,41.9,89,,Multifamily Housing,1900,618.3,2.7,9610221.3,0.473513638,0.485796076,,23.96,,,,1704031010,"2015, 2016, 2017, 2018, 2019, ",No,
BALDWIN,Municipal,K-12 School,121 Corey Road,02135,27777,50.7,87,,K-12 School,1926,80,2.9,1409111.7,0.15360464,0.833195835,,Not Available,,,,2102045000,"2016, 2017, 2018, 2019, ",No,
Bancroft,Compliant,Multifamily Housing,119-127 Sutherland,02135,30600,139.2,17,,Multifamily Housing,1920,248,8.1,4260115.9,0.093185792,0.761490527,,59.81,,,,2102155000,"2015, 2016, 2017, 2018, 2019, ",No,
Bancroft,Compliant,Multifamily Housing,1-11 Bancroft St,02119,26614,114.7,,,"Multifamily Housing, Parking",1930,171.2,6.4,3051511,0.126255432,0.862895136,,51.57,,,,1101101001,"2017, 2018, 2019, ",No,
Bancroft Realty LTD PTR: 1687 Commonwealth Avenue,Compliant,Multifamily Housing,1687 Commonwealth Avenue,02135,27200,108.8,62,,Multifamily Housing,1920,219.9,8.1,2960288.1,0.092268163,,,55.79,,Square footage confirmed (tax assessor map has different GFA but the value used is confirmed correct). ,,2102648000,"2017, 2018, 2019, ",No,
Bancroft Realty LTD PTR: 88 Washington Street,Compliant,Multifamily Housing,88 Washington Street,02135,18000,182.6,4,,Multifamily Housing,1920,188.2,10.5,3287212.4,0.174441897,0.810567854,,46.62,,"-basement sqft situation needs to be checked on and confirmed
-",,2101915000,"2017, 2018, 2019, ",No,
Barnes School Apartments LLc,Compliant,Residence Hall/Dormitory,127 Marion Street,02128,141016,40.7,91,,"Parking, Residence Hall/Dormitory",1900,351.1,2.5,5745087.9,0.337278723,0.633738032,,12.39,,,,0105980000,"2015, 2016, 2017, 2018, 2019, ",No,
BARRON,Municipal,K-12 School,515 Hyde Park Ave.,02131,14700,91.4,16,,K-12 School,1969,83.5,5.7,1343418.8,0.380041263,0.587300848,,Not Available,,,,1806609000,"2016, 2017, 2018, 2019, ",No,
Bartol Hall,Compliant,College/University,84 Pilgrim Road,02215,25400,81,,,College/University,1956,133.3,5.2,2058177.5,0.491299097,0.466482313,,51.79,,,, 0402012000,"2015, 2016, 2018, 2019, ",No,
Basilica Leasehold Condominium Trust: Basilica Condominium,Compliant,Multifamily Housing,106 13th Street,02129,280000,24.9,100,,Multifamily Housing,1986,425.8,1.5,6972214.6,0.335778026,0.635367678,,11.91,,SIXTEENTH ST on CBL,,0203510175,"2015, 2016, 2017, 2018, 2019, ",No,
BATES,Municipal,K-12 School,426 Beech St.,02131,27936,74.3,65,,K-12 School,1929,115.9,4.1,2074471.5,0.116113225,0.873908897,,Not Available,,,,1805161000,"2016, 2017, 2018, 2019, ",No,
Batten Hall,Compliant,College/University,125 Western Avenue,02134,77029,65.3,,,College/University,1963,327.2,4.2,5031806,0.422767092,0.454538231,,14.74,127366,"Harvard Real Estate (HRE) owns Batten Hall (aka Harvard Innovation Lab, or 125 Western Avenue). HBS pays for utilities and occupies the building.

A 113 solar PV system was installed at Batten Hall in September of 2014.",,2200500000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Battery Wharf Master Condo Assoc,Compliant,Multifamily Housing,2 Battery Wharf,02109,88226,321.9,1,,"Multifamily Housing, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store",2007,1843.1,20.9,28396418.2,0.497603038,0.459636614,,116.31,,,,0303041300,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
Bay Cove Human Services,Compliant,Office,157-159 Friend Street,02114,54893,51.5,84,,"Office, Urgent Care/Clinic/Other Outpatient",1899,182.9,3.3,2828506,0.487168483,0.470967889,,694.73,,"Clinic Square Feet is estimated, thus resulting in estimated use of office space",,0301612000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
BB/OP/12SS: 31 Burbank Street,Compliant,Multifamily Housing,31 Burbank Street,02115,40461,102.2,53,,Multifamily Housing,1899,231,5.7,4133841.3,0.116536648,0.873449061,,28.51,,,,401440000,"2015, 2017, 2018, 2019, ",No,
BC  129 Lake St Offices,Compliant,Office,129 Lake Street,02135,90645,78.2,66,"2018, 2017, 2013","Office, Restaurant",2007,460.4,5.1,7092426.8,0.497924668,0.459287349,,0,,"Water usage for this property is filed under Boston College Parcel ID 2102473001.

EMA filed an amended BERDO CY-2017 filing which include missing kitchen gas.   

We have not entered the DHW energy! ",,2205268078,"2017, 2018, 2019, ",No,
BC 2000 Comm Ave,Compliant,Multifamily Housing,2000 Commonwealth Ave,02135,288433,49.8,80,"2018, 2017",Multifamily Housing,2008,885.4,3.1,14368143,0.358903405,0.610255062,,0,,"WAS UNDER RENOVATION
2102464000
2102464002
2102464004
2102464006
2102464008
2102464010
2102464012
2102464014
2102464016
2102464018
2102464020
2102464022
2102464024
2102464026
2102464028
2102464030
2102464032
2102464034
2102464036
2102464038
2102464040
2102464042
2102464044
2102464046
2102464048
2102464050
2102464052
2102464054
2102464056
2102464058
2102464060
2102464062
2102464064
2102464066
2102464068
2102464070
2102464072
2102464074
2102464076
2102464078
2102464080
2102464082
2102464084
2102464086
2102464088
2102464090
2102464092
2102464094
2102464096
2102464098
2102464100
2102464102
2102464104
2102464106
2102464108
2102464110
2102464112
2102464114
2102464116
2102464118
2102464120
2102464122
2102464124
2102464126
2102464128
2102464130
2102464132
2102464134
2102464136
2102464138
2102464140
2102464142
2102464144
2102464146
2102464148
2102464150
2102464152
2102464154
2102464156
2102464158
2102464160
2102464162
2102464164
2102464166
2102464168
2102464170
2102464172
2102464174
2102464376",,2102464000,"2015, 2016, 2017, 2018, 2019, ",No,
BC 2150 Comm Ave,Compliant,Multifamily Housing,2150 Commonwealth Ave,02135,239667,57.6,89,2018,Multifamily Housing,2016,833.8,3.5,13807587.5,0.306901379,0.666725769,,0,,"This property's water is listed here and not as part of the BC Boston Campus as is 2000 Com. Ave., 129 Lake, Cadigan, and Stayer.  2150 is the exception to the rule. ",,2102443000,"2015, 2016, 2017, 2018, 2019, ",No,
BC Cadigan Offices,Compliant,Office,2121 Commonwealth Avenue,02135,68729,44.6,92,"2018, 2017, 2013",Office,2007,191.3,2.8,3063407,0.393099774,0.573120059,,0,,Water usage for this property is filed under Boston College Parcel ID 2102473001.,,2205268040,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Offsite Renewables
BC Stayer Hall,Compliant,Multifamily Housing,110 St Thomas More Rd,02135,104278,61,63,2013,Multifamily Housing,1990,393.9,3.8,6362884.3,0.371173535,0.59693053,,0,,Water usage for this property is filed under Boston College Parcel ID 2102473001.,,2102473020,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Offsite Renewables
BE Realty,Compliant,Office,133 Federal St,02110,127689,116.7,32,,"Office, Restaurant",1960,1046.9,8.2,14898911.5,0.417492604,,0.546631141,11.23,,,,0304206000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
Beacon Hill House,Compliant,Multifamily Housing,122 Bowdoin Street,02108,56000,102.2,46,,Multifamily Housing,1890,320,5.7,5720574.4,0.119423008,0.870314666,,41.68,,,,302813000,"2016, 2017, 2018, 2019, ",No,
Beacon Towers Condominium,Compliant,Multifamily Housing,479-483 Beacon St,02115,70000,80.7,57,,Multifamily Housing,1890,330.6,4.7,5646879.1,0.228807765,0.751530151,,37.42,,Property square footage is estimated based on the total rentable space plus common areas.,,503644000,"2015, 2016, 2017, 2018, 2019, ",No,
Beasley Media Boston,Compliant,Other - Entertainment/Public Assembly,55 Morrissey Blvd,02125,42000,132,,,"Other - Entertainment/Public Assembly, Parking",1998,405.1,9.6,5543635.2,0.84220646,0.085420484,,8.53,,,,1302364021,"2019, ",No,
Bec Site Office,Municipal,Other,2201 Washington St,02119,14116,0,,,Other,2000,0,0,0,,,,Not Available,,,,902478000,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
Beck Southend Trust,Compliant,Other,49-59 Wareham St.,02118,57072,57,,,Other,1900,182.5,3.2,3253112.1,0.125546246,0.863665258,,5.69,,2014 Was First Full Year of Gas Heat Switch over,,0801136000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
BEETHOVEN,Municipal,K-12 School,5125 Washington St.,02132,37452,77.5,59,,K-12 School,1925,163.3,4.4,2902762.1,0.133244166,0.855305745,,Not Available,,,,2003045000,"2016, 2017, 2018, 2019, ",No,
Belgrade Place LLC,Compliant,Multifamily Housing,446 Belgrade Ave,02132,43716,56.8,69,,"Multifamily Housing, Parking",2012,163.5,3.7,2483848.1,0.536778383,0.417094749,,29.47,,,,2005737000,"2015, 2016, 2017, 2018, 2019, ",No,
Bell Olmsted Park,Compliant,Multifamily Housing,161 South Huntington Ave,02130,193000,47.8,96,,"Multifamily Housing, Parking, Swimming Pool",2015,551.5,2.9,9220961.1,0.28266735,0.69304228,,37.82,,,,1001631000,"2017, 2018, 2019, ",No,
"Belvedere Condo Trust, The",Compliant,Multifamily Housing,100 Belvedere Street,02199,165000,31.6,87,,Multifamily Housing,1900,383.8,2.3,5207010.3,0.868936514,0.056393436,,Not Available,,Water is sub-metered through Boston Properties.  ,,0401037600,"2016, 2017, 2018, 2019, ",No,
Benjamin Healthcare Center,Compliant,Senior Care Community,120 Fisher Avenue,02120,75399,99,60,,"K-12 School, Parking, Senior Care Community",1927,482.5,6.4,7463206.2,0.486974779,0.471178165,,71.27,,Property is multilevel mix-use building with two parking lots.  Sub-level and two levels are used by a medical facility and upper level is used by a charter school.,,1001342000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
Beren Tennis Pavilion,Compliant,Other - Recreation,71 North Harvard Street,02134,6117,216.2,,,Other - Recreation,1899,99.1,16.2,1322516.8,0.920867519,,,Not Available,,"This electric meter provides service not just to the small clubhouse facility for the tennis complex, it also feeds all of the exterior lighting and other loads for the 18-court exterior facility.",,2200533000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Beryl Gardens,Compliant,Multifamily Housing,103 Madison Park Court,02120,43803,45.1,98,,Multifamily Housing,1998,115.3,2.6,1976459.9,0.220872854,0.760146968,,44.89,,,,0903082100,"2017, 2018, 2019, ",No,
