Property Name,Reported,Tax Parcel,Property Type,Address, Zip,"Gross Area (sq ft) 
",Site EUI (kBTU/sf),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link
Washington Associates LLC: 116 Washington Street,Reported,2101900000,Multifamily Housing,116 Washington Street,2135,22400,111,66,,Multifamily Housing,1920,183.1,8.2,2485741.9,0.1329,,,0.8671,,,,60.78,Not Available,Square footage different on the tax assessor map - however the GFA listed is the correct area. ,
Commonwealth Properties LP: 1820 Commonwealth Avenue,Reported,2102300000,Multifamily Housing,1820 Commonwealth Avenue,2135,39921,67.1,90,,Multifamily Housing,1920,147.1,3.7,2680341.7,0.138,0.8962,,,,,,30.96,Not Available,"Gas meter shared among 5 buildings, usage split based on gross sq. ft

Electric usage looked high but Eversource confirmed whole building was sent for 1820 Commonwealth service address only. This is consistent with the request made through the Eversource Data Portal, which shows the request only for 1820 Commonwealth, 36 units. ",
Bancroft Realty LTD PTR: 1687 Commonwealth Avenue,Reported,2102648000,Multifamily Housing,1687 Commonwealth Avenue,2135,27200,106.3,61,,Multifamily Housing,1920,213.4,7.8,2890120,0.926,,,0.974,,,,41.67,Not Available,Square footage confirmed (tax assessor map has different GFA but the value used is confirmed correct). ,
Commonwealth Properties,Reported,2102304000,Multifamily Housing,66-70 Chiswick,2135,36800,101.1,39,,Multifamily Housing,1920,205.2,5.6,3720325,0.12,0.88,,,,,,46.52,Not Available,,
Walbridge Brainerd,Reported,2101463000,Multifamily Housing,25 Walbridge St,2134,24700,171.5,1,,Multifamily Housing,1920,232.5,9.4,4235066.6,0.142,0.8958,,,,,,84.69,Not Available,Alternative service addresses: 109 Brainerd/99 Brainerd,
Park Associates,Reported,2100029000,Multifamily Housing,231 Park Drive,2215,58002,75.8,84,,Multifamily Housing,1920,244.8,4.2,4395465.3,0.1519,0.8481,,,,,,41.5,Not Available,,
Bancroft,Reported,2102155000,Multifamily Housing,119-127 Sutherland,2135,30600,104.6,50,,Multifamily Housing,1920,175.5,5.7,3201734.6,0.17,0.8993,,,,,,38,Not Available,,
Harbor Garage,Reported,302995000,Other,70 East India Row,2110,364500,10.2,,,Other,1969,261.2,0.7,3724209.4,1,,,,,,,6.59,Not Available,,
Newcastle/Saranac: 609-627 Columbus Ave,Reported,901045000,Multifamily Housing,627 Columbus Ave,2118,74156,78.5,33,,Multifamily Housing,1930,321.9,4.3,5818874.4,0.131,0.8699,,,,,,41.63,Not Available,,
Waterview - 1350 Columbia Rd,Reported,701436000,Multifamily Housing,1350 Columbia Rd,2127,41739,60.2,77,,Multifamily Housing,1975,143.9,3.4,2511063.3,0.2453,0.7547,,,,,,31.08,Not Available,,
Newcastle/Saranac: 599 Columbus Ave (1-10),Reported,901006000,Multifamily Housing,599 Columbus Ave,2118,35545,92.7,41,,Multifamily Housing,1930,183,5.1,3293496.7,0.1437,0.8563,,,,,,27.21,Not Available,,
Mason Place: 80 Mason St,Reported,304838000,Multifamily Housing,80 Mason St,2111,134915,66.9,68,,Multifamily Housing,1918,516.4,3.8,9031617,0.2387,0.7613,,,,,,40.15,Not Available,,
Symphony East: 334 Massachusetts Ave,Reported,402295000,Multifamily Housing,334 Massachusetts Ave,2115,154105,69.6,64,,Multifamily Housing,1978,629.6,4.1,10732173.7,0.3264,0.6736,,,,,,49.01,Not Available,,
Saint Botolph,Reported,402385000,Multifamily Housing,150 Saint Botolph Street,2115,102004,83.7,39,,Multifamily Housing,1920,488.4,4.8,8541052,0.2393,0.767,,,,,,59.24,Not Available,,
Symphony West: 333 Massachusetts Ave,Reported,402277000,Multifamily Housing,333 Massachusetts Ave,2115,174779,66.2,59,,Multifamily Housing,1978,695.9,4,11564761.3,0.4148,0.5852,,,,,,41.07,Not Available,,
The Stearns: 10 Temple Place,Reported,304794000,Multifamily Housing,10 Temple Pl,2111,135344,52.6,81,,Multifamily Housing,1909,424.1,3.1,7119641.5,0.3793,0.627,,,,,,41.47,Not Available,,
One International Place,Reported,304075000,Office,One International Place,2110,1324251,60,76,"2020, 2019, 2018, 2017, 2016, 2015, 2014","Data Center, Office, Other - Mall, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",1986,4518.9,4.2,64434734.8,1,,,,,,,8.63,Not Available,,
Two International Place,Reported,0304071000 0304060010,Office,Two International Place,2110,981195,63.3,80,"2020, 2019, 2018, 2017, 2016, 2015, 2014","Bank Branch, Data Center, Fitness Center/Health Club/Gym, Office, Other - Mall, Parking, Repair Services (Vehicle, Shoe, Locksmith, etc.), Restaurant",1992,3780.8,4.4,53910316.1,1,,,,,,,6.39,Not Available,,
"Belvedere Condo Trust, The",Reported,401037600,Multifamily Housing,100 Belvedere Street,2199,165000,30.8,85,,Multifamily Housing,2002,350.8,2.1,5075677.8,0.942,0.598,,,,,,Not Available,Not Available,Water is sub-metered through Boston Properties.  ,
The Porter Condominium Trust,Reported,104164010,Multifamily Housing,156 Porter Street,2128,165000,28.4,88,,Multifamily Housing,2005,328.1,2,4688356,0.999,0.91,,,,,,41.44,Not Available,,
"Residences at Copley Place, The",Reported,400985010,Multifamily Housing,16 Harcourt Street,2115,157450,30.3,81,,Multifamily Housing,1985,334.8,2.1,4774066.8,1,,,,,,,14.75,Not Available,,
Twenty Two Liberty,Reported,602671019,Multifamily Housing,22 Liberty Drive,2210,222191,59.3,74,,Multifamily Housing,2015,752.4,3.4,13168477.3,0.2365,0.7635,,,,,,23.68,Not Available,,
Wilkes Passage Lofts Condominium,Reported,306010010,Multifamily Housing,1313 Washington Street,2118,394950,48.3,94,2020,"Multifamily Housing, Parking",2002,788.3,2.9,12966542.8,0.4512,0.5488,,,,,,20.62,Not Available,"Wilkes Passage Lofts is an urban infill development consisting of a seven story mixed-use development that consists of 152 residential condominium units, 20,000 square feet of commercial/restaurant space and approximately 386 below-grade parking spaces.

",
Holy Sprit Association UWC,Reported,501489001,Worship Facility,46 beacon st,2108,30000,14.1,91,,Worship Facility,1860,24.1,0.8,423682.7,0.2277,0.7723,,,,,,15.56,Not Available,,
Atelier 505,Reported,500815020,Multifamily Housing,505 Tremont St,2116,440000,66.1,16,,"Multifamily Housing, Parking, Performing Arts",2004,1605,4.1,25843139.6,0.5283,0.4717,,,,,,13.48,Not Available,,
Harborview at the Navy Yard,Reported,203517600,Multifamily Housing,250 1st Ave,2129,225589,89.1,23,,Multifamily Housing,2008,1152.6,5.1,20110989.9,0.2467,0.7533,,,,,,37.04,Not Available,,
Four Seasons Boston,Reported,501185000,Hotel,200/220 Boylston Street,2116,887170,41.6,98,"2019, 2018","Heated Swimming Pool, Hotel, Multifamily Housing, Parking",1980,2267.8,2.8,33178786.2,0.6847,0.455,0.2699,,,,,11.48,Not Available,"Four Seasons Place Assessing Parcel ID is  0501185000.  This benchmarking covers both hotel and condo properties as both are in the same building.

 ",
Hyatt Regency Boston,Reported,304500100,Hotel,One Avenue De Lafayette,2111,462684,53.1,93,"2013, 2012, 2011, 2010, 2007","Heated Swimming Pool, Hotel, Other, Restaurant",1983,1592.5,3.4,24578067.2,0.6863,0.3137,,,,,,16719.83,Not Available,Hyatt Regency Boston  Assessing Parcel ID is 03045001100,
14 Beacon Street LLC,Reported,304692050,Office,14 Beacon Street,2108,88203,32.5,98,,"Library, Office",1897,163.1,1.8,2868633.1,0.2193,0.787,,,,,,0.56,Not Available,"Building has a climate control system.
Rest of building is made up of office spaces rented to both profit and non-profit tenants.",
Faros 20 Ashburton LLC,Reported,302814000,Office,20 Ashburton Place,2108,51781,45.5,94,,Office,1968,161.5,3.1,2354883,0.588,,0.4192,,,,,5.67,Not Available,Increase in tenancy has resulted in increased electrical usage for 2018. ,
One Boston Place,Reported,302870000,Office,One Boston Place,2108,880768,70.6,76,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007",Office,1970,4192.4,4.8,62224157,0.434,0.473,0.5223,,,,,5.66,Not Available,"

2/1/2019 - The 6,263 GSF Mezzanine Level was demolished, and brought the Bldg GSF from 844,203 GSF down to 837,940 GSF. ",
HF GROUP LLC,Reported,0202138000 0202139000,Manufacturing/Industrial Plant,100 CAMBRIDGE ST.,2129,39754,77.8,,,Manufacturing/Industrial Plant,1950,185.9,4.7,3093541.6,0.412,0.5898,,,,,,10.83,Not Available,,
The Corner Mall,Reported,304738000,Office,413 Washington Street,2108,212515,86.6,56,,"Office, Performing Arts, Retail Store",1925,1190.5,5.6,18404273.9,0.5211,0.2752,0.237,,,,,19.21,Not Available,"This is a mixed use office/retail/food court/theatre building.
",
The Heritage on the Garden,Reported,501170002,Mixed Use Property,300 Boylston Street,2116,444690,65.7,38,,"Multifamily Housing, Office, Other, Other - Services, Parking, Restaurant",1988,1628.9,4.6,23503776.5,0.9513,0.487,,,,,,13.16,Not Available,"This is a mixed-use building.  87 condominiums, garage, office, retail space, spa and 2 restaurants.",
Washington Jewelers Building,Reported,304734000,Office,373-387 Washington St.,2108,118094,60.2,,,"Office, Retail Store",1920,510.7,4.3,7113735.8,0.5449,0.96,,0.4455,,,,30.69,Not Available,,
32-38 Bromfield Street,Reported,304761000,Office,32-38 Bromfield Street,2108,41818,67.6,82,,Office,1899,186.9,4.5,2826894.4,0.136,0.597,0.843,,,,,1.77,Not Available,,
Longwood Galleria,Reported,401914000,Mixed Use Property,400 Brookline Avenue,2215,295857,119.9,,,"Hotel, Multifamily Housing, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1969,2384.6,8.1,35105598.2,0.75,0.832,0.2119,,,,,42.28,Not Available,"This is a mixed-use property consisting of 154 apartments, office space, retail space, food court,  hotel and parking garage.",
120 Herald Street,Reported,500515000,Other,120 Herald Street,2116,231360,1.3,,,"Other, Parking",1967,10.7,0.1,152300.8,1,,,,,,,Not Available,Not Available,this is a parking structure only.  There is no building associated. No water meter.,
50 Federal St.,Reported,304670000,Office,50-60 Federal Street,2110,71880,92.1,,,"Medical Office, Office",1910,456.5,6.4,6617584.7,0.6936,,0.364,,,,,10.87,Not Available,,
105-129 Kingston Street,Reported,304421000,Office,2 24 Edinboro Street,2111,75500,59.6,,,"Office, Retail Store",1910,303.7,4,4500213.2,0.2887,,0.7113,,,,,4.11,Not Available,,
170 Shawmut Ave,Reported,30616000,Manufacturing/Industrial Plant,170 Shawmut Avenue,2118,52224,43.3,,,Manufacturing/Industrial Plant,1960,126.7,2.4,2258986.4,0.1752,0.8248,,,,,,0.06,Not Available,,
Arlington Boylston,Reported,501167000,Office,330-350 Boylston Street,2116,63054,51.5,84,,"Office, Other, Retail Store",1899,218.9,3.5,3245205.1,0.2951,0.37,0.712,,,,,6.02,Not Available,,
11 Tetlow Street - Tetlow Realty Associates,Reported,401834000,Multifamily Housing,11 Tetlow Street,2115,21779,1.5,,,Multifamily Housing,1918,1.7,0.1,31826.5,,1,,,,,,10.22,Not Available,,
137 Park Drive - Gilbert Realty Trust,Reported,504277000,Multifamily Housing,137 Park Drive,2215,31092,2,100,,Multifamily Housing,1926,4.2,0.1,62236.2,0.8523,0.1477,,,,,,3.84,Not Available,,
143 Park Drive - Gilbert Realty Trust,Reported,504278000,Multifamily Housing,143 Park Drive,2215,33492,2.7,100,,Multifamily Housing,1926,6,0.2,91325.8,0.7132,0.2868,,,,,,9.15,Not Available,,
"46 Westland Ave - Forty-Six Westland Avenue, LLC",Reported,401516000,Multifamily Housing,46 Westland Avenue,2115,30565,37.7,100,,Multifamily Housing,1926,85.1,2.8,1151268,0.531,0.28,,0.9441,,,,4.21,Not Available,,
Comaven Housing: 1399 Commonwealth Ave,Reported,2101105000,Multifamily Housing,1399 Commonwealth Avenue,2134,23080,37.7,67,,Multifamily Housing,1974,58.8,2.5,869209.9,0.852,0.148,,,,,,37.14,Not Available,"oil/gas listed for heating fuel.
2 oil accounts in Utility tab",
7 Elkins,Reported,603405100,Manufacturing/Industrial Plant,7 Elkins St,2127,60000,130.3,,,Manufacturing/Industrial Plant,1960,554.2,9.2,7815192.5,0.884,,,0.1916,,,,34.64,Not Available,used parcel number off GIS map. Not on covered building list or assesor's database yet.,
177 Milk Street,Reported,303940000,Office,177 Milk Street,2109,73339,83.5,60,,Office,1892,372.2,5.1,6121086.4,0.4525,0.5475,,,,,,3.89,Not Available,,
660 Beacon Street,Reported,503752000,Office,660 Beacon Street,2215,63423,22.2,92,,Office,1990,98.6,1.6,1405808.8,1,,,,,,,Not Available,Not Available,2020 data notes: development at the property meant barely any oil use. Largely unoccupied. No billed water because of construction - will be billed later.,
642-648 Beacon Street,Reported,503749000,Office,642-648 Beacon Street,2215,58275,53.3,87,,Office,1990,176.9,3,3103715.4,0.2283,0.7717,,,,,,0.23,Not Available,"Electric usage was provided directly by Eversource through the portal request (and they confirmed it accounted for the whole building)

2018 Gas usage provided directly by National Grid for service addresses 648 Beacon, 645 Beacon, and 644 Beacon Street. - They insisted to me this is all they have for the property.

",
144-162 (170) Charles Street,Reported,502444000,Other - Lodging/Residential,144-162 Charles Street,2114,84952,43.8,,,"Other - Lodging/Residential, Parking",1920,140.3,2.9,2127011,0.7555,0.2445,,,,,,5.39,Not Available,"3 floors are enclosed parking; 400 Covered Spaces
Electric provided directly by Eversource which accounts for the whole building. Natural gas provided directly by National Grid for the whole building. ",
6 Tide,Reported,0602674065; 0602674069 ,Laboratory,6 Tide St,2210,375000,37.7,,,"Laboratory, Office",2019,859.9,2.3,14132218.4,0.4543,0.5457,,,,,,4.62,Not Available,"Eversource is asking for a tenant form, but will not answer on which tenant needs to answer. Collected bills from owner, but waiting for Eversource to prove this is whole-building. Will re-submit if we get something different from them.",
Radian,Reported,304308000,Multifamily Housing,120 Kingston,2111,291816,23,100,,Multifamily Housing,2014,414.9,1.4,6708372.5,0.5131,0.4869,,,,,,18.11,Not Available,,
Norway Housing: 99-103 Norway Street,Reported,401410000,Multifamily Housing,99-103 Norway Street,2115,38056,104.3,29,,Multifamily Housing,1978,286.6,7.5,3970769.4,0.161,0.652,,0.7738,,,,54.25,Not Available,2020 modifications:  new zone values and 1 new DHW boiler,
Norway Housing: 87 Saint Stephen Street,Reported,401665000,Multifamily Housing,87 Saint Stephen Street,2115,39048,78,77,,Multifamily Housing,1978,170.3,4.4,3045987.9,0.165,0.835,,,,,,57.54,Not Available,,
700 Harrison Ave Condominium,Reported,801212000,Other - Lodging/Residential,700 Harrison Ave ,2118,173387,27,,,Other - Lodging/Residential,2007,272.1,1.6,4684380.5,0.2922,0.778,,,,,,17.32,Not Available,Condominium Building.  Parking Garage under building.  Not a standalone garage. ,
485 Harrison Ave (Harrison Lofts Condo),Reported,306445010,Other,485 Harrison Avenue,2118,65121,54.1,,,Other,2003,208.4,3.2,3522505.3,0.3559,0.6441,,,,,,27.78,Not Available,This is a condominium building.,
Jordan Lofts,Reported,306444000,Multifamily Housing,477 Harrison Avenue,2118,34825,9.3,100,,Multifamily Housing,2016,21.3,0.6,322680.3,0.7546,0.2454,,,,,,1.93,Not Available,This is a condominium building.,
1230 Washington St,Reported,306443000,Manufacturing/Industrial Plant,1234 Washington St,2118,60990,16.6,,,Manufacturing/Industrial Plant,1926,56.7,0.9,1009556.8,0.1767,0.8233,,,,,,10.54,Not Available,,
Kelton Place Condominium,Reported,2101821000,Other - Lodging/Residential,147 Kelton Street ,2134,72941,12.5,,,Other - Lodging/Residential,1980,59.6,0.8,909971.4,0.7247,0.2753,,,,,,30.69,Not Available,Condominium Building. Parking Garage under building.  Not a standalone garage. ,
Penny Savings Bank,Reported,305960000,Other - Lodging/Residential,30 Union Park Street ,2118,52503,16.2,,,Other - Lodging/Residential,2007,50.7,1,850831.4,0.3785,0.6215,,,,,,16.12,Not Available,Condominium Building.  Underground parking.  Not standalone garage. ,
Dudley St,Reported,703676000,Non-Refrigerated Warehouse,55 Humphreys St,2125,105000,0.8,99,,Non-Refrigerated Warehouse,1950,5.8,0.1,82048.6,1,,,,,,,1.4,Not Available," 
 ",
The 1850 Condominium,Reported,801106020,Other - Lodging/Residential,90 Wareham Street ,2118,52448,64.7,,,Other - Lodging/Residential,2008,212.5,4.1,3393939.5,0.5579,0.4421,,,,,,35.78,Not Available,"This is a condominium building with 60 residential units, no commercial units.  Building has the potential of a second phase, but has not been built.  There is not a parking garage located at the building.  There is a parking lot with spaces that do not equal the amount of units within the building.    Building also has an address of 519 Albany Street (most unit deeds have this address listed) The legal recorded condominium documents show ""The 1850 Condominium"" with 90 Wareham Street. 

",
The Bradley Condominium,Reported,503834010,Multifamily Housing,409 Commonwealth Avenue,2215,36187,38.9,,,Multifamily Housing,2012,85.2,2.4,1408415.4,0.434,0.566,,,,,,12.72,Not Available,This is a condominium building.,
The Charlesview Condominium,Reported,503703000,Other - Lodging/Residential,534 Beacon Street ,2215,518155,5.4,,,Other - Lodging/Residential,2001,163.1,0.3,2784542.9,0.325,0.6795,,,,,,2.95,Not Available,"This is a condominium building. There is not parking garage located at the building.  There is a small parking lot located at the rear of the building.  Parking spaces are not equal to the amount of condo units located in the building. 
",
Edward Sullivan Condominium 401-407 W 1st St,Reported,602875000,Multifamily Housing,401-407 West First Street,2127,100016,3,,,"Multifamily Housing, Office, Parking",2014,15.7,0.2,265909.1,0.348,0.6592,,,,,,18.97,Not Available,This is a condominium building.,
RESIDENCES AT ST. AUGUSTINE,Reported,700775000,Multifamily Housing,225 Dorchester Street,2127,41499,4.3,100,,Multifamily Housing,2016,11.8,0.3,178561.6,0.7631,0.2369,,,,,,23.12,Not Available,,
99 TREMONT,Reported,2203711010,Multifamily Housing,99 Tremont Street,2135,102871,8.1,100,,Multifamily Housing,2018,55.6,0.5,833730.6,0.7975,0.225,,,,,,13.54,Not Available,,
THE BOULEVARD / 102-112 BROAD ST,Reported,303975000,Multifamily Housing,110 Broad Street,2110,69829,41.1,90,,Multifamily Housing,2018,174,2.5,2868763.1,0.4421,0.5579,,,,,,13.89,Not Available,,
Work Inc,Reported,1600011000,Office,25 Beach St,2122,130000,39.6,91,,Office,1910,312.3,2.4,5152625.5,0.441,0.5599,,,,,,2.2,Not Available,,
451 D St,Reported,602825000,Office,451 D St,2210,477000,124.1,14,,Office,1909,4032.4,8.5,59204751.7,0.8811,0.1189,,,,,,7.15,Not Available,building rehabbed which explains low but increasing gas usage. Resubmission 4/5/21 because gas meter was not selected.,
45 On Burnett Condominium,Submitted with possible data errors,1102605040,Multifamily Housing,45 Burnett Street,2130,47124,Not Available,,,Multifamily Housing,2019,Not Available,Not Available,Not Available,,,,,,,,21.01,Not Available,,
MA036_Avalon Exeter (mv60),Reported,401037085,Multifamily Housing,77 Exeter Street,2116,268850,39.4,63,,Multifamily Housing,2014,709.7,2.6,10601440.1,0.8127,0.1873,,,,,,17.43,Not Available,Building first occupied April 2014,
MA044_AVA Theater District (vt22),Reported,304910020,Multifamily Housing,45 Stuart St,2116,575120,43,78,,"Multifamily Housing, Parking",2015,1365.5,2.7,21460175.5,0.618,0.382,,,,,,20.27,Not Available,,
MA048_Avalon North Station (mh53),Reported,301922050,Multifamily Housing,1 Nashua Street,2114,536912,56.3,64,,Multifamily Housing,2017,1863.1,3.5,30245413.8,0.4986,0.514,,,,,,23.64,Not Available,,
10-24 School Street,Reported,304718000,Office,10-24 School Street,2108,134789,51.9,92,"2020, 2019, 2018, 2017, 2016","Data Center, Office, Retail Store",1925,478.6,3.6,7001117.5,0.5245,0.1,0.4755,,,,,Not Available,Not Available,,
265 Franklin Street,Reported,304035000,Office,265 Franklin Street,2110,413355,45.4,83,"2020, 2019, 2018, 2017, 2016, 2015","Data Center, Office, Parking",1984,1149,3.2,16552956,0.878,,0.1922,,,,,Not Available,Not Available,,
Bowdoin School,Reported,300213000,Multifamily Housing,45 Myrtle Street,2114,26061,118.5,3,,Multifamily Housing,1977,202.1,7.8,3088504.7,0.3156,0.3551,,0.3293,,,,62.96,Not Available,"Built 1900. Heating is oil/gas. Changed gross sq ft to 35000 because was listed as 34,748 and was not adding up ",
05050-  South Bay Center 12,Reported,703498010,Movie Theater,25 District Ave,2125,49261,112.5,,,Movie Theater,2000,576.1,11.7,5540966.3,0.6914,0.386,,,,,,Not Available,Not Available,We are benchmarking just for the portion that AMC Theater leases.,
26570 - Boston Commons 19,Reported,304870408,Movie Theater,175 Tremont Street,2111,113000,53.2,,,Movie Theater,1990,421.3,3.7,6007713.5,1,,,,,,,Not Available,Not Available,Reporting was completed by tenant who leases the whole building. Landlord has the water data and AMC is billed for it. ,
North End Garage,Reported,301937000,Parking,600 Commercial St.,02109-1015,206277,7.1,,,Parking,1925,103.2,0.5,1471492.8,1,,,,,,,0.2,Not Available,,
Motor Mart Garage,Reported,500139000,Parking,201 Stuart Street,2116,471744,178.7,,,"Parking, Restaurant",1928,576.3,11,9367919.7,0.4936,0.564,,,,,,74.73,Not Available,,
384 WARREN STREET,Reported,1200967000,Other - Education,384 WARREN STREET,2119,33750,65.2,,,Other - Education,1920,127.1,3.8,2199524.9,0.2738,0.7262,,,,,,7.69,Not Available,,
103 CLAYTON STREET,Reported,1600579000,Office,103 CLAYTON STREET,2122,40696,43.9,86,,Office,1912,111,2.7,1787613.3,0.5278,0.4722,,,,,,4.97,Not Available,,
Tower Point,Reported,602754010,Office,27-43 Wormwood Street,2210,179123,57,57,,"Data Center, Office, Parking",1890,625.7,4,8922294.7,1,,,,,,,6.3,Not Available,"Property was acquired by the present owners on May 27, 2017.

Tax Parcel ID - 602754010

2017 data prior to ownership change was manually input. Data was provided by prior owner.",
NW 230 Congress Street Property Owner LLC,Reported,304190000,Office,230 Congress Street ,2110,182653,139.5,40,,"Data Center, Office",1931,1776.8,9.7,25486391.8,0.889,,0.111,,,,,10.69,Not Available,,
Sienna Ink Block LLC,Reported,306731010,Multifamily Housing,40 Traveler Street,2118,105793,44,88,,Multifamily Housing,2018,289.6,2.7,4658306.3,0.5316,0.4684,,,,,,15.85,Not Available,,
The Vendome,Reported,501383000,Multifamily Housing,160 Commonwealth Ave.,2116,98982,65.1,6,,Multifamily Housing,1871,427.9,4.3,6444269.8,0.788,0.2192,,,,,,40.2,Not Available,,
Rockingham Glen - 30&40 Rockingham Ave.,Reported,2003041000,Multifamily Housing,30-40 Rockingham Avenue,2132,142900,61.1,92,,Multifamily Housing,1974,488.4,3.4,8726855.2,0.1677,0.8323,,,,,,33.55,Not Available,,
Blake Estates I & II,Reported,1809255000,Multifamily Housing,1344 Hyde Park Avenue,2136,193000,59.5,80,,Multifamily Housing,1980,659,3.4,11478493.5,0.2523,0.7477,,,,,,31.23,Not Available,Also Includes ID 1809255010,
Omni Parker House,Reported,304696000,Hotel,60 School Street,2108,338000,82.3,85,,Hotel,1855,1833.5,5.4,27818120.1,0.2522,0.176,0.642,,,,,36.09,Not Available,,
Smiley 4 Alger LLC,Submitted with possible data errors,700027000,Non-Refrigerated Warehouse,4 Alger Street,2127,95269,Not Available,,,Non-Refrigerated Warehouse,1940,0,0,Not Available,,,,,,,,0.77,Not Available,,
371 Smiley Dorchester LLC,Reported,00014-000,Office,371-385 Dorchester Ave,2127,144888,4.6,,,Office,1980,46.8,0.3,667133.9,1,,,,,,,2.19,Not Available,,
Smiley Alger LLC,Submitted with possible data errors,700027001,Non-Refrigerated Warehouse,2 Alger Street,2127,42800,Not Available,,,Non-Refrigerated Warehouse,1966,0,0,Not Available,,,,,,,,0.16,Not Available,,
Susan Bailis Assisted Living,Reported,402350010,Senior Care Community,352 Mass ave,2115,59999,65.4,,,"Parking, Retail Store, Senior Care Community",2003,217.3,4.3,3281444,0.7698,0.232,,,,,,288.65,Not Available,,
Gateway Terrace Condominium (40Fay)(Hallet),Reported,306390010,Other - Lodging/Residential,40 Fay Street,2118,38758,51,,,Other - Lodging/Residential,2005,118.9,3.1,1978453.5,0.489,0.5911,,,,,,31.39,Not Available,"Condominium Building.  No Standalone parking garages.  Parking garage located under 35 Fay Street building. 

35 Fay Street & 1166 Washington Street have the same Parcel ID # (0306396010) 
40 Fay Street has it's own Parcel ID #  (0306390010 - 40 Fay St parcel #) ",
Gateway Terrace Condominium (1166W + 35Fay)(Vose + Emerson),Reported,306396010,Other - Lodging/Residential,"1166 Washington Street, 35 Fay Street",2118,93317,60.9,,,Other - Lodging/Residential,2005,344,3.7,5685682.2,0.4342,0.5658,,,,,,36.38,Not Available,"Condominium Building.  No Standalone parking garages.  Parking garage located under 35 Fay Street building. 

35 Fay Street & 1166 Washington Street have the same Parcel ID # (0306396010) 
40 Fay Street has it's own Parcel ID #  (0306390010 - 40 Fay St parcel #) 

",
Waverly (wv000),Reported,2200716000,Multifamily Housing,9 Bronsdon Street,2135,113294,80.3,56,,Multifamily Housing,1970,521.7,4.6,9096161,0.2492,0.758,,,,,,28.54,Not Available,,
The Portland Group Boston,Reported,00958-000,Distribution Center,82 Gerard Street,2119,42030,56.6,48,,Distribution Center,1925,131.9,3.1,2380640,0.1341,0.8659,,,,,,0.69,Not Available,Entered monthly usage from actual bills. ,
303 Congress Street,Reported,602691000,Office,305 Congress Street,2210,74673,34.2,92,,Office,2000,167.3,2.2,2552521.7,0.739,0.2691,,,,,,6.78,Not Available,,
214 Newbury Street,Reported,0503227000 & 0503226000,Other - Mall,206-214 Newbury Street,2116,41060,18.5,,,Other - Mall,1899,52.7,1.3,758625.7,0.9575,0.425,,,,,,1.26,Not Available,,
601 Boylston Street,Reported,501308000,Office,601 Boylston Street,2116,47583,52.9,78,,Office,1962,159.4,3.3,2517809.7,0.598,0.42,,,,,,8.07,Not Available,,
211 Congress Street,Reported,304398000,Office,211 Congress Street,2110,78101,55.8,86,,Office,1922,262,3.4,4361818.9,0.489,0.5911,,,,,,7.08,Not Available,,
One Faneuil Hall Square,Reported,303675000,Office,One Faneuil Hall Square,2109,44287,58.3,76,,"Office, Retail Store",1980,159.4,3.6,2580791.4,0.588,0.4912,,,,,,0.85,Not Available,,
7 Sherman St.,Reported,201864000,Other - Services,7 Sherman St.,2129,39000,123.5,,,Other - Services,1920,269.9,6.9,4818328.3,0.2538,0.7462,,,,,,22.66,28525,,
Harvard Vanguard Medical,Reported,2006994100,Medical Office,291 Independence Drive,2467,119908,100.1,66,,"Medical Office, Parking",1984,282.6,6.3,4455169.5,0.665,0.3935,,,,,,6.39,Not Available,,
Harvard Vanguard Medical Associates,Reported,2100074000,Medical Office,133 brookline Ave,2215,395667,153.4,,,"Data Center, Medical Office, Parking",1900,2620.2,9.4,42748482.9,0.487,0.5193,,,,,,580.29,Not Available,This was first reported without a data center in error Data center Added,
Embassy Suites Boston Logan Airport,Reported,104102000,Hotel,167 Cottage Street,2128,398000,46,100,,"Heated Swimming Pool, Hotel, Parking",2003,815.6,2.8,13235819.9,0.4997,0.53,,,,,,11.09,Not Available,City of Boston parcel ID 0104102000.  167 Cottage St/ 207 Porter St. East Boston,
Nisson Family Trust,Submitted with possible data errors,1801024000,Other - Mall,1618-1634 Blue Hill Avenue,2126,20701,Not Available,,,Other - Mall,1925,Not Available,Not Available,Not Available,,,,,,,,Not Available,Not Available,,
SHORE PLAZA EAST - 730 BORDER ST: 26850520011,Reported,103678000,Multifamily Housing,730 Border St.,2128,12000,758.4,,,Multifamily Housing,1975,638.3,53.2,9101185.8,1,,,,,,,Not Available,Not Available,,
Landfall West Apartments 401 BORDER ST: 26291321003,Reported,103613000,Multifamily Housing,401 Border St.,2128,51488,17,100,,Multifamily Housing,1975,61.3,1.2,874420.5,1,,,,,,,29.77,Not Available,,
