Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water ,% District Chilled Water,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2020,5 Year Energy Action and Assessment Compliance Status
Asian Healthcare Foundation of Massachusetts,Compliant,Office,145 South Street,2111,42000,60.7,91,,Office,1895,169.6,4,2549010.7,0.61557627,0.38442373,,,,,11.94,,,,304325000,"2016, 2017, 2018, 2019, 2020,",No,
Atelier 505,Compliant,Multifamily Housing,505 Tremont St,2116,440000,66.3,10,,Multifamily Housing,2004,1879,4.3,29179450.4,0.516905983,0.483094013,,,,,Not Available,,,,500815020,"2016, 2017, 2018, 2019, 2020,",Yes,Extension
ATJ Neponset III,Compliant,Multifamily Housing,30 - 46 Sierra Road,2136,43400,45.3,52,,Multifamily Housing,1964,147.2,3.4,1964608.1,1,,,,,,134.33,,,,1809785000,"2017, 2018, 2019, 2020,",Yes,Not Compliant
Atlantic Wharf,Compliant,Office,280 Congress St.,2210,964949,81.3,81,"2019, 2018, 2017, 2016, 2015, 2013","Data Center, Multifamily Housing, Office, Parking, Restaurant",2010,5385.5,5.6,78456194.5,0.711595766,0.288404234,,,,,10.98,,"Atlantic Wharf office tower/retail/garage/residential includes the following parcel IDs: 0302952018, 0302952020, 0302952022, 0302952024, 0302952014, 0302952010, 0302952016",,"302952018, 302952020, 302952022, 302952024, 302952014, 302952010","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Atrium On Commonwealth,Compliant,Multifamily Housing,1079 Commonwealth Ave.,2215,278852,34.7,71,,"Multifamily Housing, Parking, Retail Store",1919,725.3,2.6,9678318.7,1,,,,,,Not Available,,,,2100477000,"2018, 2019, 2020,",Yes,Extension
Audubon Park Condo Trust,Compliant,Multifamily Housing,16 Miner St,2215,84310,39.5,80,,Multifamily Housing,2007,215.1,2.6,3328894.6,0.526365569,0.473634431,,,,,Not Available,,,,2100167000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Avenir - 29807,Compliant,Multifamily Housing,101 Canal St.,2114,335514,49.7,79,,"Multifamily Housing, Parking, Restaurant, Retail Store",2009,1074.8,3.2,16682340.4,0.518346946,0.481653054,,,,,Not Available,,2014-1  Gross floor area reflects Asssessor's living area less enclosed parking garage.,,301570001,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
B001-Dental,Compliant,College/University,1 Kneeland Street,2111,330486,282.8,,,College/University,1973,6381.1,19.3,93445809.1,0.221137196,,0.778862804,,,,17.72,,,,305380000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
B002-PosnerHall,Compliant,College/University,200 Harrison Ave,2111,61259,89.4,,,College/University,1951,328.4,5.4,5478089.4,0.313520166,0.686479834,,,,,24.06,,,,305081000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
B003-BRPH (M&V),Compliant,College/University,136 Harrison Ave,2111,231534,353.8,,,College/University,1940,5739.2,24.8,81908102.1,0.430106496,0.000226725,0.569666779,,,,43.23,,,,"305251000, 305252000, 305253000, 305254000","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
B008_Jaharis,Compliant,College/University,150 Harrison Ave,2111,179165,307.8,,,College/University,2002,3875.1,21.6,55146053.9,0.453687835,0.000150702,0.546161465,,,,54.69,,,,305104000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
B011-Sackler,Compliant,College/University,145 Harrison Ave,2111,136192,135.5,,,College/University,1986,1292.2,9.5,18448067.8,0.427337756,,0.572662244,,,,11.58,,,,305371000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
B-02 Station,Municipal,Police Station,2400 Washington St,2119,34500,122.6,,,Police Station,2000,264.1,7.7,4230493,0.42709774,0.57290226,,,,,Not Available,,,,1201261000,"2016, 2017, 2018, 2019, 2020,",No,
B-03 Station,Municipal,Police Station,1163 Blue Hill Ave,2124,15000,182.7,,,Police Station,2000,168.3,11.2,2740921.5,0.379672129,0.620327835,,,,,Not Available,,,,1404623000,"2016, 2017, 2018, 2019, 2020,",No,
Babcock Tower,Compliant,Multifamily Housing,270 Babcock Street,2215,155384,60.6,23,,Multifamily Housing,1972,705.9,4.5,9420125.8,1,,,,,,77884360,,,,2100470000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
Back Bay Maintenance,Municipal,Other,440 Park Dr,2215,10822,45.4,,,Other,2000,28.3,2.6,491616.5,0.200915754,0.799084246,,,,,Not Available,,,,401994000,"2016, 2017, 2018, 2019, 2020,",No,
Back of the Hill Apartments L.P.,Compliant,Multifamily Housing,100 South Huntington Avenue,2130,119531,60.8,86,,Multifamily Housing,1978,427.3,3.6,7261748.3,0.262706572,0.737293428,,,,,Not Available,,,,1001490000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Baker Library,Compliant,Library,25 Harvard Way,2163,157820,81.3,,,Library,1927,888.3,5.6,12828148.7,0.321613461,,0.666544425,,,,Not Available,44523,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage.  After January 2017, monthly readings are accurate.

A solar PV system was installed Spring 2017 at Baker Library.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Baker Square,Compliant,Multifamily Housing,1241 Adams Street,2124,229178,57.5,53,,Multifamily Housing,1900,835.6,3.6,13188164.2,0.469618645,0.530381355,,,,,Not Available,,,,1704031010,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - 15% Efficiency Improvement
BALDWIN,Municipal,K-12 School,121 Corey Road,2135,27777,48.3,88,,K-12 School,1926,76.2,2.7,1342216.8,0.166472287,0.833527788,,,,,Not Available,,,,2102045000,"2016, 2017, 2018, 2019, 2020,",No,
Bancroft,Compliant,Multifamily Housing,119-127 Sutherland,2135,30600,123.2,29,,Multifamily Housing,1920,212.3,6.9,3770154.7,0.103152186,0.852118615,,0.044729199,,,55,,,,2102155000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Bancroft,Compliant,Multifamily Housing,1-11 Bancroft St,2119,26614,111.2,,,"Multifamily Housing, Parking",1930,165.8,6.2,2960307.1,0.132203446,0.86779652,,,,,49.54,,,,"1101101001, 1101101000, 1101097000, 1102299000, 1102315000, 1102316000","2017, 2018, 2019, 2020,",No,
Bancroft Realty LTD PTR: 1687 Commonwealth Avenue,Compliant,Multifamily Housing,1687 Commonwealth Avenue,2135,27200,110.7,60,,Multifamily Housing,1920,223.7,8.2,3011565.2,0.083478053,,,0.916521947,,,50.44,,Square footage confirmed (tax assessor map has different GFA but the value used is confirmed correct). ,,2102648000,"2017, 2018, 2019, 2020,",No,
Bancroft Realty LTD PTR: 88 Washington Street,Compliant,Multifamily Housing,88 Washington Street,2135,18000,144.6,33,,Multifamily Housing,1920,144.8,8,2602816.6,0.115026468,0.884973532,,,,,39.58,,"-basement sqft situation needs to be checked on and confirmed
-",,2101915000,"2017, 2018, 2019, 2020,",No,
BARRON,Municipal,K-12 School,515 Hyde Park Ave.,2131,14700,73.6,34,,K-12 School,1969,66.5,4.5,1081951.6,0.380736624,0.619263376,,,,,Not Available,,,,1806609000,"2016, 2017, 2018, 2019, 2020,",No,
Bartol Hall,Municipal,College/University,84 Pilgrim Road,2215,25400,84.8,,,College/University,1956,138.8,5.5,2153843.7,0.51968121,0.48031879,,,,,Not Available,,,,402012000,"2015, 2016, 2018, 2019, 2020,",Yes,Extension
Basilica Leasehold Condominium Trust: Basilica Condominium,Compliant,Multifamily Housing,106 13th Street,2129,80000,88.1,87,,Multifamily Housing,1986,425.3,5.3,7049857.9,0.330406348,0.669593652,,,,,Not Available,,SIXTEENTH ST on CBL. Gross Sqaure footage estimated. ,,203510175,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
BATES,Municipal,K-12 School,426 Beech St.,2131,27936,72.6,64,,K-12 School,1929,113.3,4.1,2029446.1,0.124855693,0.875144307,,,,,Not Available,,,,1805161000,"2016, 2017, 2018, 2019, 2020,",No,
Batten Hall,Compliant,College/University,125 Western Avenue,2134,77029,66.8,,,College/University,1963,334.8,4.3,5144141.4,0.463208593,0.451916271,,,,,Not Available,127963,"Harvard Real Estate (HRE) owns Batten Hall (aka Harvard Innovation Lab, or 125 Western Avenue). HBS pays for utilities and occupies the building.

A 113 solar PV system was installed at Batten Hall in September of 2014.",,2200500000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Battery Wharf Master Condo Assoc,Compliant,Mixed Use Property,2 Battery Wharf,2109,416920,83.4,12,,"Hotel, Multifamily Housing, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store",2012,2223.5,5.3,34778116,0.495774561,0.504225439,,,,,Not Available,,,,"303041010, 303041300","2014, 2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Bay Cove Human Services,Compliant,Office,157-159 Friend Street,2114,54893,54.7,89,,"Office, Urgent Care/Clinic/Other Outpatient",1899,182.3,3.3,3004367.1,0.444316808,0.555683192,,,,,736.9,,"Clinic Square Feet is estimated, thus resulting in estimated use of office space",,301612000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
BB/OP/12SS: 31 Burbank Street,Compliant,Multifamily Housing,31 Burbank Street,2115,40461,94.3,60,,Multifamily Housing,1899,213.8,5.3,3817032.1,0.133043628,0.866956372,,,,,Not Available,,,,401440000,"2015, 2017, 2018, 2019, 2020,",Yes,Not Compliant
BBH Boston Back Bay Hilton,Compliant,Hotel,40 Dalton Street,2115,393752,72.2,73,,Hotel,2007,1978.4,5,28426479.4,0.569079117,0.125048918,0.305871968,,,,40.56,,,,401327000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
BC  129 Lake St Offices,Compliant,Office,129 Lake Street,2135,90645,73.6,68,"2018, 2017, 2013","Office, Restaurant",2007,436.2,4.8,6667847.1,0.563739981,0.436260019,,,,,0,,"Water usage for this property is filed under Boston College Parcel ID 2102473001.

EMA filed an amended BERDO CY-2017 filing which include missing kitchen gas.   

We have not entered the DHW energy!",,2205268078,"2017, 2018, 2019, 2020,",No,
BC Stayer Hall,Compliant,Multifamily Housing,110 St Thomas More Rd,2135,104278,64.8,54,2013,Multifamily Housing,1990,414.5,4,6752376.9,0.378781715,0.621218285,,,,,0,,Water usage for this property is filed under Boston College Parcel ID 2102473001.,,2102473001,"2015, 2016, 2017, 2018, 2019, 2020,",No,
BE Realty,Compliant,Office,133 Federal St,2110,127689,125.6,37,,"Office, Restaurant",1960,1118.7,8.8,16043294.1,0.389796364,,0.61020363,,,,Not Available,,,,304206000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Beacon Hill House,Compliant,Multifamily Housing,122 Bowdoin Street,2108,56000,98.9,44,,Multifamily Housing,1890,311.6,5.6,5537956.2,0.14399825,0.856001732,,,,,Not Available,,,,302813000,"2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Beacon House: 19 Myrtle St,Compliant,Multifamily Housing,19 Myrtle St,2114,82279,72.4,89,,Multifamily Housing,1983,443,5.4,5955639.3,0.243827258,,,0.756172742,,,Not Available,,"packaged HydroTherm"" boilers. Studios and 1 bedroom apartments.",,300168000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Beasley Media Boston,Compliant,Other - Entertainment/Public Assembly,55 Morrissey Blvd,2125,42000,133.4,,,"Other - Entertainment/Public Assembly, Parking",1998,409.6,9.8,5600975.4,0.916971301,0.083028699,,,,,5.74,,,,1302364021,"2019, 2020,",No,
Beck Southend Trust,Compliant,Other,49-59 Wareham St.,2118,57072,54.7,,,Other,1900,175.8,3.1,3123051.7,0.145803446,0.854196554,,,,,5.35,,2014 Was First Full Year of Gas Heat Switch over,,801136000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
BEETHOVEN,Municipal,K-12 School,5125 Washington St.,2132,37452,72.1,60,,K-12 School,1925,153.1,4.1,2701553.6,0.163433959,0.836566041,,,,,Not Available,,,,2003045000,"2016, 2017, 2018, 2019, 2020,",No,
Belgrade Place LLC,Compliant,Multifamily Housing,446 Belgrade Ave,2132,43716,46.6,80,,"Multifamily Housing, Parking",2012,139,3.2,2035616.1,0.696160833,0.303839216,,,,,Not Available,,,,2005737000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Bell Olmsted Park,Compliant,Multifamily Housing,161 South Huntington Ave,2130,193000,57.7,67,,"Multifamily Housing, Parking, Swimming Pool",2015,694,3.6,11131260.9,0.422895568,0.577104432,,,,,Not Available,,,,1001631000,"2017, 2018, 2019, 2020,",No,
"Belvedere Condo Trust, The",Compliant,Multifamily Housing,100 Belvedere Street,2199,165000,32.6,79,,Multifamily Housing,2002,396.5,2.4,5371767,0.948501582,0.051498418,,,,,Not Available,,Water is sub-metered through Boston Properties.  ,,401037600,"2016, 2017, 2018, 2019, 2020,",Yes,Extension
Benjamin Healthcare Center,Compliant,Senior Care Community,120 Fisher Avenue,2120,75400,83.3,72,,"K-12 School, Parking, Senior Care Community",1927,415,5.5,6278744.5,0.594807545,0.405192455,,,,,79.55,,Property is multilevel mix-use building with two parking lots.  Sub-level and two levels are used by a medical facility and upper level is used by a charter school.,,1001342000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Beren Tennis Pavilion,Compliant,Other - Recreation,71 North Harvard Street,2134,6117,204.2,,,Other - Recreation,1899,93.6,15.3,1249104.6,1,,,,,,Not Available,,"This electric meter provides service not just to the small clubhouse facility for the tennis complex, it also feeds all of the exterior lighting and other loads for the 18-court exterior facility.",,2200533000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Beryl Gardens,Compliant,Multifamily Housing,103 Madison Park Court,2120,25000,79.1,73,,Multifamily Housing,1998,114,4.6,1977188.4,0.208876655,0.791123345,,,,,68.53,,,,903082100,"2017, 2018, 2019, 2020,",No,
BIDMC East && West Campus,Compliant,Hospital (General Medical & Surgical),330 Brookline Ave.,2215,2497517,325.5,24,,"Hospital (General Medical & Surgical), Laboratory, Parking",1975,54879.3,22,812970373.2,0.264825779,0.003967303,0.458251329,0.00224848,,0.270707109,25.03,,"East & West Campus building meter data is combined.// BIDMC is reporting on Parcel ID 0401944000 which BIDMC owns (not NEDH Corp as per Boston Assessing Dept records). The parcel contains several buildings and is part of the West Campus.// BIDMC’s energy use/SF and Energy Star score reflect our energy intensive patient care and substantial lab research uses that have fresh air needs that drive up Btu/sf. BIDMC buys energy products from a district combined heat and power plant; such cogen energy savings is not reflected in this energy reporting platform. While new medical equipment and higher intensity clinical uses tend to increase hospital energy needs incrementally, BIDMC invests hundreds of thousands of dollars annually on energy savings projects (excluding LDC incentives). Due to projects undertaken since 2004, BIDMC saves  95,020 million Btu and 2,200 KCF of water a year.  For more information see the Green Ribbon Commission at http://www.greenribboncommission.org/health-care.",http://www.greenribboncommission.org/health-care.,"401861000, 401862000, 401942000, 401944000, 401954000, 401964001","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
BIDMC Research North,Compliant,Laboratory,95 Brookline Ave,2215,114681,200.5,,,Laboratory,1994,1558.5,13.6,22992259.6,0.67224187,0.32775813,,,,,Not Available,,,,2100067000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Bigelow Court Condominiums,Compliant,Multifamily Housing,142 Bigelow Street,2135,43066,42.7,99,,"Multifamily Housing, Parking",2006,109.8,2.5,1838137.7,0.302163597,0.697836348,,,,,22.64,,,,2203171000,"2018, 2019, 2020,",No,
Bigelow Sq,Compliant,Multifamily Housing,350 West 4th St.,2135,60000,11.6,100,,Multifamily Housing,1899,38.9,0.6,693986.8,0.135867282,0.864132862,,,,,2250.02,,,,600516000,"2018, 2020,",No,
Bird Farm South LLC,Compliant,Office,129 South Street,2111,43031,2.1,,,"Office, Other - Restaurant/Bar",1895,6.8,0.2,90429.6,1,,,,,,33.75,,,,304323000,"2016, 2017, 2018, 2019, 2020,",No,
BLACKSTONE,Municipal,K-12 School,380 Shawmut Ave.,2118,194260,103.7,31,,"Heated Swimming Pool, K-12 School",1975,1130.7,5.8,20144474.7,0.177222328,0.822777672,,,,,Not Available,,,,900160000,"2016, 2017, 2018, 2019, 2020,",No,
Blackstone Square LP,Compliant,Other,1511 - 1525 Washington Street,2118,50290,2.5,,,Other,1900,9.4,0.2,125122.9,1,,,,,,60.91,,,,900190000,"2015, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Blake Estates I & II,Compliant,Multifamily Housing,1344 Hyde Park Avenue,2136,193000,56.6,87,,Multifamily Housing,1980,641,3.3,10926372.4,0.254463256,0.745536744,,,,,Not Available,,Also Includes ID 1809255010,,"1809255000, 1809255010","2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Blodgett Pool,Compliant,Other - Recreation,55 North Harvard Street,2134,46074,136.4,,,"Office, Other, Other - Recreation, Swimming Pool",1977,376.4,8.2,6286641.8,0.309903628,0.690096372,,,,,Not Available,,,,2200533000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Blue Elm Apartments: 172-176 Seaver Street,Compliant,Multifamily Housing,172-176 Seaver St,2121,65350,60.7,82,,Multifamily Housing,1930,224,3.4,3966135.3,0.153716289,0.846283736,,,,,Not Available,,Parcel ID includes: 172-176 Seaver; 55-59 Brookledge,,"1202347000, 1202344000","2018, 2019, 2020,",No,
Blue Elm Apartments-6 Wayne Street,Compliant,Multifamily Housing,6 Wayne Street,2121,61335,68.3,89,,Multifamily Housing,1930,236.3,3.9,4187516,0.151935467,0.848064533,,,,,Not Available,,,,1202410000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - 15% Efficiency Improvement
Blue Ledge Co-op: 15 Blue Ledge Drive,Compliant,Multifamily Housing,15 Blue Ledge Drive,2131,72186,64.1,70,,Multifamily Housing,1995,279.3,3.9,4629783.4,0.330060646,0.669939332,,,,,Not Available,,,,1806016300,"2015, 2017, 2018, 2019, 2020,",Yes,Compliant - ASHRAE II Energy Audit
BMR-Blackfan Circle LLC,Compliant,Laboratory,3 Blackfan Circle,2115,761369,372,,,"Laboratory, Parking, Restaurant",2008,16609.6,21.8,283200937.7,0.25362449,0.74637551,,,,,Not Available,,"Number of occupants and number of computers is estimated.
The parking garage under the building is included in the whole building electricity data and uses an estimated 356,000 kWh per year. The parking garage is also a condominium and is lot number 0401853020.",,401853020,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Bold Colony LLC,Compliant,Self-Storage Facility,39 Old Colony Avenue,2127,67430,27.2,,,Self-Storage Facility,1985,124.8,1.9,1830742,0.380199941,0.298458221,,0.321341838,,,13.98,,,,700276001,"2017, 2018, 2019, 2020,",No,
Bornstein & Pearl,Compliant,Food Service,196 Quincy St,2121,36000,188.6,,,Food Service,1930,420.3,11.7,6790274,0.402298935,0.597701065,,,,,44.65,,National Grid gas usage had more estimated data for 2018 data than in 2017.-8/22/19,,1300952000,"2016, 2017, 2018, 2019, 2020,",No,
BOS - 245 Summer Street,Submitted With Possible Data Errors,Office,245 Summer Street,2210,906422,Not Available,,"2018, 2013","Data Center, Financial Office, Office, Restaurant",1975,Not Available,Not Available,Not Available,,,,,,,16.39,,"The parcel identification code has been added to this reporting on February 4, 2014. The property was LEED Silver certified in 2009. LEED re-certified in 2013 and achieved LEED Gold. LEED re-certified again in 2018 and achieved LEED Gold again.",,305364005,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
BOS HOME FOR INCURABLES,Compliant,Senior Care Community,2061 Dorchester Ave.,02124-4799,92300,119.1,100,,Senior Care Community,1927,624.7,6.8,10993842.3,0.16972934,0.830270651,,,,,Not Available,,Originally built in 1927.  Major additions done in 1992 and 2003.,,1704417000,"2016, 2017, 2020,",No,
BOS Office 3 LLC,Compliant,Office,63 Franklin Street,2110,34075,56.7,,,Office,1934,122.8,3.6,1930395.1,0.618351601,0.381648451,,,,,5.45,,,,304603000,"2017, 2018, 2019, 2020,",No,
Boston Baptist College,Compliant,Adult Education,950 Metropolitan Ave,2136,40425,98.6,,,Adult Education,1904,223.8,5.5,3984688.3,0.139683423,0.860316552,,,,,18.61,,,,1810945000,"2016, 2017, 2018, 2019, 2020,",No,
Boston Bowl,Compliant,Other - Entertainment/Public Assembly,820 William T. Morrissey Blvd,2122,45096,122.4,,,"Other - Entertainment/Public Assembly, Parking",1959,355.9,7.9,5518741.9,0.520887197,0.479112821,,,,,10.72,,,,1602582000,"2016, 2017, 2018, 2019, 2020,",No,
BOSTON CAR CO INC,Compliant,Automobile Dealership,1600 SOLDIERS FIELD RD,2135,41169,87.5,,,Automobile Dealership,1970,233,5.7,3601380.6,0.530843033,0.469156967,,,,,Not Available,,,,2202755000,"2016, 2017, 2018, 2019, 2020,",No,
Boston Children's Hospital,Compliant,Other - Specialty Hospital,300 Longwood Ave,2115,2228153,465.9,,,"Other, Other - Specialty Hospital, Parking",1914,69389.6,31.1,1038107840,0.230455132,,0.49386797,,,0.275676897,27.81,,"Boston Children's Hospital is composed of numerous buildings constructed between 1914 through 2015. This is as of May 1, 2015

CHB MAIN property increased sq ft during 2014 by 117,345,  this is included in the total sq ft for CHB MAIN",,"401851000, 401853100, 401870000, 401886000, 401894000, 401895000, 401990000","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Boston Chinese Evangelical Church,Compliant,Worship Facility,120 Shawmut Ave,2118,36446,82.9,22,,"Parking, Worship Facility",1985,175.3,4.8,3022685.3,0.222942627,0.777057373,,,,,4.67,,"All information recorded are automatically transferred from utilities.  Added manually when called for to portray 12 months of data. Building was recently renovated first floor only using energy saving LED lighting. Half of Second floor renovated with LED lighting.  Other Half utility company will be converted to LED lighting.

One half of third floor converted to LED lighting.

Recently the half of Third floor recently remodeled with LED lighting.

Roof top condenser units fitted with  VDT to save energy.
Hot water tanks fitted with VDT.",,306175000,"2016, 2017, 2018, 2019, 2020,",No,
Boston College   (BERDO),Compliant,College/University,140 Commonwealth Ave,2467,2738980,73.8,,,College/University,1863,13429.9,4.9,202740976.4,0.519013854,0.345454615,0.135531531,,,,22.01,,"All Water is reported here, even for Bldgs filed separately. CY-2016 data is reporting 550,150 few Gross Sq ft because the following properties have distinguished themselves as exceptionally efficient, so their energy usage is e-Filed separately. Boston Campus Parcel IDs
Cadigan 22-05268040 
129 Lake No ID
Stayer 21-02473020 
2000 Comm. Ave 21-02464000 
CY-2015 District Hot Water was estimated based on previous year due to a bad meter
Below is a list of the parcel ID's for all of the Boston based properties 35,000 sq ft or greater.
2204960020 -St Peter Faber
2102473001 - 2601 Beacon St
2205268030 -Comm Ave
2205268050  -  Lake St
2205268070  -  117 Lake St
2205268075;076;078 - 127 Lake
2205268080  -  197 Foster
2102473001  -  2601 Beacon
2204960020 - 192 Foster Street Jesuit Residences included in 2015
2102443000  - 2150 Com Ave - new construction - we will not have a full year of data til Aug 2017, and this property will be separately filed as we anticipate LEED EB status",,"2204960020, 2205268030, 2205268050, 2205268070, 2205268080","2014, 2015, 2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Boston Collegiate Charter School,Compliant,College/University,11 Mayhew Street,2125,40100,85,,,College/University,1900,209.8,5.2,3409560.5,0.386085303,0.613914697,,,,,Not Available,,Amanda Kay verified that there have been no oil deliveries since May/June 2018.,,702972010,"2016, 2017, 2018, 2019, 2020,",No,
Boston Common Visitor Information Center,Municipal,Other,Tremont St Vstr  /  West,2111,1234,218.7,,,Other,2000,16.9,13.7,269926.5,0.443148413,0.556851587,,,,,Not Available,,,,500812000,"2016, 2017, 2018, 2019, 2020,",No,
Boston Copley Square Courtyard,Compliant,Hotel,88 Exeter st,2116,40000,233,2,,Hotel,1890,562.7,14.1,9320252.1,0.332616958,0.667383042,,,,,Not Available,,,,401057000,"2018, 2019, 2020,",No,
Boston FGA/GHL Maintenance (040011),Compliant,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",571 East First Street,2127,40687,49.3,,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1920,138.9,3.4,2006977,0.736902815,0.263097185,,,,,40.83,,"Energy and water data entered manually from utility provided bills (obtained online CASS). Location is required to submit monthly energy data, by May 15th each year. Size of building provided by FGA; year built, employees, schedule, PCs, occupancy provided by Chris Dalton 8/17/2017.
Electricity - Eversource: account 28679740010
Nat. Gas - National Grid: account 51440-26290
Water - Boston Water: account 3687 24000",,603422000,"2017, 2018, 2019, 2020,",No,
Boston location,Compliant,Urgent Care/Clinic/Other Outpatient,1055 Commonwealth Ave,2215,42650,162.4,,,"Parking, Urgent Care/Clinic/Other Outpatient",1920,413,9.7,6927118.9,0.298197278,0.701802722,,,,,9.04,,,,2100473000,"2015, 2017, 2018, 2019, 2020,",No,
Boston MA YTL,Compliant,Hotel,65 Seaport Blvd,2210,99000,87.3,70,,Hotel,2017,598,6,8645206.1,0.735618749,0.264381251,,,,,Not Available,,,,602640080,"2019, 2020,",No,
Boston Medical Center,Compliant,Hospital (General Medical & Surgical),One Boston Medical Center Place,2118,2185271,180.1,79,,"Hospital (General Medical & Surgical), Parking",1986,33829.4,11.7,522295973.3,0.346903386,0.34555108,0.307545533,,,,25.98,,Crosstown Center added 801 Massachusetts Avenue,,"801067020, 801172000, 801243001, 801298000, 801299000, 801301000, 801420000","2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
BOSTON OPERA HOUSE,Compliant,Performing Arts,539 WASHINGTON STREET,2111,118781,68.8,,,Performing Arts,1928,548,4.6,8168778.2,0.640399111,0.359600889,,,,,Not Available,,,,304830000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
BOSTON PAPER BOARD CORP,Compliant,Manufacturing/Industrial Plant,40 ROLAND STREET,2129,62970,10.8,,,Manufacturing/Industrial Plant,1905,43.5,0.7,677281.6,0.507295045,0.492704955,,,,,0.56,,,,202127000,"2018, 2020,",No,
BOSTON SOUTH BAY (1898),Compliant,Retail Store,7 ALLSTATE RD,2125,147225,69.5,76,2012,"Parking, Retail Store",2004,697.3,4.7,10228834,0.690033097,0.309966903,,,,,10.92,,,,703501010,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Boston Trinity Academy,Compliant,K-12 School,17 Hale Street,2136,53000,75.8,71,,K-12 School,1956,218.9,4.1,4016748.8,0.081769938,0.918230037,,,,,Not Available,,"We had an energy audit approximately 3 years ago and replace all our bulbs into either LED, or energy efficient florescent or lamp bulbs.

I used utility bills and for electric use I used actual consumption not multiplied by the 120 billing factor for 12 months use.",,1811281000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
BostonView Apartments,Compliant,Multifamily Housing,130-140 Bowdoin St,2108,209103,5.6,100,,"Multifamily Housing, Parking",1965,81.6,0.4,1162898.3,1,,,,,,11.16,,,,302811000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Bowdoin  Place Condominium,Compliant,Multifamily Housing,10 Bowdoin Street,2114,112888,2.8,100,,Multifamily Housing,2004,24.1,0.2,321437.7,1,,,,,,76.96,,,,302726010,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Bowdoin School: Bowdoin School,Compliant,Multifamily Housing,45 Myrtle Street,2114,35000,94.9,10,,Multifamily Housing,1977,219,6.3,3321314.9,0.291839145,0.402707404,,0.305453421,,,Not Available,,"Built 1900. Heating is oil/gas. Changed gross sq ft to 35000 because was listed as 34,748 and was not adding up",,300213000,"2017, 2018, 2019, 2020,",No,
